Symbol,ROI,Volatility,Sharpe_Ratio,Next_Day_Price,Recommendation
ADANIPORTS,4.214642857142857,0.2699981157631967,0.47046617303168875,465.69198378533474,Sell
ASIANPAINT,5.645879732739421,0.25099219591499616,0.4038055309094102,2084.685305891908,Sell
AXISBANK,0.28152729228287166,0.3364358082811464,0.25010815549489834,543.9795547223475,Sell
BAJAJ-AUTO,5.339396444811905,0.23964433939045876,0.43483885416880214,3393.8028748885263,Sell
BAJAJFINSV,20.688568061284617,0.28364549686349877,0.5695455283848719,7178.337323998567,Sell
BAJAUTOFIN,14.637438423645321,0.35782036621702584,0.5465536542392085,392.3474427955807,Sell
BAJFINANCE,6.038342370255615,0.3302612478367094,0.5919156600738033,4218.482143786852,Sell
BHARTI,7.249154453213078,0.3168375786963254,0.9269598685808779,356.18485105611035,Sell
BHARTIARTL,0.48212066823139593,0.2719000333422736,0.19255051594915143,312.4881181239107,Sell
BPCL,0.056480901690670035,0.33102808684360724,0.18576064344032706,609.3226707246613,Buy
BRITANNIA,3.556744616197648,0.23739086534411746,0.31736737715982977,3442.4879069705494,Sell
CIPLA,-0.3753387998764881,0.2736799552480081,0.1493865222829025,408.287822311373,Sell
COALINDIA,-0.6115895489709531,0.21086800868219138,-0.11203989864057577,187.52530393674533,Buy
DRREDDY,2.423238852975303,0.26094951011836787,0.2550769043594122,3327.7486091618775,Sell
EICHERMOT,48.57318321392017,0.33983742538355216,0.510548804416665,19345.320618974976,Buy
GAIL,0.9970887918486169,0.285028914085332,0.21321569253942707,375.1303970924928,Buy
GRASIM,2.1981519507186857,0.2797364651490162,0.2792413248558854,2385.0224715332297,Buy
HCLTECH,-0.4216925600694779,0.365044020157576,0.16594765725064203,951.3519543682633,Buy
HDFC,7.2456558773424184,0.29293891640923186,0.36047257455793924,1907.557947428184,Sell
HDFCBANK,7.307647058823529,0.2691020344894399,0.3696502900097638,1719.0764106706483,Buy
HEROHONDA,0.4784282875124214,0.3219718087627795,0.2764500570876625,1457.1188192071859,Sell
HEROMOTOCO,0.5193069440327667,0.20302060378380732,0.20902029948957004,3295.088471122028,Buy
HINDALC0,-0.836301804138567,0.34341149804096616,0.013053570022603593,457.29657188637066,Buy
HINDALCO,1.452220726783311,0.3265944611147605,0.26526077810515936,202.13627889664167,Sell
HINDLEVER,-0.9138480206279387,0.3387732407133376,-0.12205991346914549,-97.40350631217007,Sell
HINDUNILVR,10.899646107178967,0.18921446263565056,0.5771183794130073,1924.5441655144095,Sell
ICICIBANK,7.033444816053512,0.33655915345539567,0.348812430139999,684.9618676570826,Buy
INDUSINDBK,31.295336787564768,0.35863790233315834,0.4291369228846947,1302.8972051303135,Buy
INFOSYSTCH,-0.8166231472237155,0.37716584005847575,0.04666736705409224,1047.5617787331576,Sell
INFY,-0.5300251583239352,0.2830126990472953,0.041305293088487724,397.95229905855376,Sell
IOC,-0.6645744877238324,0.2976439041634158,0.08022974990033156,272.9220610815919,Buy
ITC,-0.7140437544107269,0.2766416685401308,0.14667067898176978,90.70772805156594,Sell
JSWSTEEL,1.2821491018915911,0.37318156880173875,0.3447803024278756,570.808175029124,Sell
JSWSTL,-0.24003588363449951,0.24214081897395193,-1.0447336115127555,248.22229403420351,Sell
KOTAKBANK,10.268041237113403,0.33566198408951803,0.395799796788049,1366.0779416644946,Sell
KOTAKMAH,-0.3623283191628515,0.5777928409119137,0.1504828237518065,135.78598149419486,Sell
LT,1.1077914930419057,0.28946019322507244,0.2395161764188712,1226.9015806135285,Sell
M&M,0.6599757361861694,0.31246813740988016,0.209976074786247,1129.0001867577375,Buy
MARUTI,38.291844187461955,0.24393383597515034,0.5501485736363118,7101.046222206904,Buy
MUNDRAPORT,-0.8592792605670371,0.4619752031912556,-0.1612775792705738,156.1431401060545,Buy
NESTLEIND,5.537690658008137,0.17138725533352717,0.5773747919734808,13979.821064696647,Sell
NTPC,0.356055592322965,0.21347631714661688,0.150882705860612,138.8885110432152,Buy
ONGC,-0.49332396345748414,0.29470599369589084,0.12583514427304793,246.79750992664776,Buy
POWERGRID,1.1873757455268392,0.21008835961046615,0.24501288419284367,203.65753526378103,Sell
RELIANCE,6.9241160111243545,0.26981298010667937,0.33025385970858423,1492.0586146047426,Sell
SBIN,0.45085163143853885,0.30130387368408135,0.25663771726118334,992.2433271338268,Buy
SESAGOA,0.6171035668242374,0.43967402559809154,0.39230291071135964,764.6285646904798,Buy
SHREECEM,430.05019305019306,0.27577005699414486,0.6930725447975647,18601.405975468457,Sell
SSLT,0.17632914774245256,0.26720861640709626,0.3303442231304534,239.48536658494413,Buy
SUNPHARMA,-0.6433612163156317,0.3268903628693232,0.1538856751867537,688.296149919237,Buy
TATAMOTORS,-0.33002735978112174,0.3443470312383423,0.18185037777259952,240.48126989159937,Sell
TATASTEEL,1.6902562768310132,0.3131465676713996,0.26019509332995433,441.9103485423657,Sell
TCS,2.0726757426995293,0.26655065263334915,0.28540795102954686,2633.1115471868834,Sell
TECHM,0.7327920613441588,0.3141413374804683,0.257120732371509,755.8233933335068,Sell
TELCO,0.988235294117647,0.3485356590187695,0.4231019039846788,229.0616446358763,Sell
TISCO,1.4860610036077404,0.31091445471488055,0.41541762576057717,381.57662932609674,Buy
TITAN,8.580282594733463,0.35362713624718317,0.4298134700053698,1095.3783754326432,Sell
ULTRACEMCO,23.131245196003075,0.2353193104438334,0.5289119428407401,4643.23591884831,Sell
UNIPHOS,-0.7150595882990248,0.37419881240905134,0.08091651846052765,18.033204753533937,Sell
UPL,2.9460338101430423,0.2819083995866458,0.4737053073215265,718.4427938730805,Buy
UTIBANK,21.378277153558052,0.3536954376135739,0.7541799381048819,411.25715749115625,Sell
VEDL,0.17923447169378864,0.3343306187740466,0.21128633885339212,176.33077938546558,Sell
WIPRO,-0.8191212098964834,0.34357270440576204,0.07984732383879989,-94.33617760558263,Sell
ZEEL,-0.21138729551731464,0.3246252200953536,0.14416289219004658,404.1713693498532,Buy
ZEETELE,-0.7979999152506462,0.4500108961038573,-0.02251509985544344,85.78892733695102,Sell
